year,section,field,label,raw_preview
2024-2025,B,B13,"Of the initial cohort, how many did not persist and did not graduate for the following reasons:","B13 Of the initial cohort, how many did not persist and did not graduate for the following reasons: • Death • Permanently Disability • Service in the armed forces, • Foreign aid service of the federal government • Official church missions • Report total allowable exclusions na na"
2024-2025,B,B14,"Final cohort, after adjusting for allowable exclusions:                                                            #VALUE!              #VALUE!","B14 Final cohort, after adjusting for allowable exclusions: #VALUE! #VALUE!"
2024-2025,B,B15,Completers of programs of less than two years duration (total):                                                            na                    na,B15 Completers of programs of less than two years duration (total): na na
2024-2025,B,B16,Completers of programs of less than two years within 150 percent of normal time:,B16 Completers of programs of less than two years within 150 percent of normal time: na na
2024-2025,B,B17,Completers of programs of at least two but less than four years (total):                                                   na                    na,B17 Completers of programs of at least two but less than four years (total): na na
2024-2025,B,B18,Completers of programs of at least two but less than four-years within 150 percent of normal time:,B18 Completers of programs of at least two but less than four-years within 150 percent of normal time: na na
2024-2025,B,B19,Total transfers-out (within three years) to other institutions:                                                            na                    na,B19 Total transfers-out (within three years) to other institutions: na na
2024-2025,B,B20,Total transfers to two-year institutions:                                                                                  na                    na,B20 Total transfers to two-year institutions: na na
2024-2025,B,B21,Total transfers to four-year institutions:                                                                                 na                    na,B21 Total transfers to four-year institutions: na na
2024-2025,B,B22,. Retention Rates,"B22. Retention Rates Report for the cohort of all full-time, first-time bachelor’s (or equivalent) degree-seeking undergraduate students who entered in Fall 2023 (or summer term). • The initial cohort may be adjusted for students who departed for the following reasons: CDS-B Page 49 * Death * Perman"
2024-2025,C,C1,-C2: Applications,"C1-C2: Applications C1 First-time, first-year students: Provide the number of degree-seeking, first-time, first-year students who applied, were admitted, and enrolled (full- or part-time) in Fall 2024. • Include early decision, early action, and students who began studies during summer in this cohor"
2024-2025,C,C2,"First-time, first-year wait-listed students","C2 First-time, first-year wait-listed students Students who met admission requirements but whose final admission was contingent on space availability Yes No Do you have a policy of placing students on a waiting list? X If yes, please answer the questions below for Fall 2024 admissions: WAITING LIST "
2024-2025,C,C3,-C5: Admission Requirements,C3-C5: Admission Requirements C3 High school completion requirement Check the appropriate box to identify your high school completion requirement for degree-seeking entering students: X High school diploma is required and GED is accepted High school diploma is required and GED is not accepted High s
2024-2025,C,C4,Does your institution require or recommend a general college-preparatory program for degree-,C4 Does your institution require or recommend a general college-preparatory program for degree- seeking students? Require X Recommend Neither require nor recommend
2024-2025,C,C5,Distribution of high school units required and/or recommended. Specify the distribution of academic,C5 Distribution of high school units required and/or recommended. Specify the distribution of academic high school course units required and/or recommended of all or most degree-seeking students using Carnegie units (one unit equals one year of study or its equivalent). If you use a different system
2024-2025,C,C6,-C7: Basis for Selection,"C6-C7: Basis for Selection C6 Do you have an open admission policy, under which virtually all secondary school graduates or students with GED equivalency diplomas are admitted without regard to academic record, test scores, or other qualifications? If so, check which applies: Open admission policy a"
2024-2025,C,C7,"Relative importance of each of the following academic and nonacademic factors in your first-time,","C7 Relative importance of each of the following academic and nonacademic factors in your first-time, first-year, degree-seeking general (not including programs with specific criteria) admissions decisions. Academic Very Important Important Considered Not Considered Rigor of secondary school record X"
2024-2025,C,C8,: SAT and ACT Policies,"C8: SAT and ACT Policies Entrance exams Yes No Does your institution make use of SAT or ACT scores in admission decisions for first-time, first-year, degree-seeking applicants? X If yes, place check marks in the appropriate boxes below to reflect your institution’s policies for use in admission for"
2024-2025,C,C8A,,"C8A students applying for Fall 2026. Not Not required for Required to be considered for Required for admission, but Admission considered for Recommended admission, some considered if admission even if submitted submitted SAT or ACT X ACT Only X SAT Only X"
2024-2025,C,C8B,Has been removed from the CDS.,C8B Has been removed from the CDS.
2024-2025,C,C8C,Has been removed from the CDS.,C8C Has been removed from the CDS.
2024-2025,C,C8D,"In addition, does your institution use applicants' test scores for academic advising?","C8D In addition, does your institution use applicants' test scores for academic advising? X Yes No"
2024-2025,C,C8E,Latest date by which SAT or ACT scores must be received for fall-term admission                       January 31st,C8E Latest date by which SAT or ACT scores must be received for fall-term admission January 31st
2024-2025,C,C8F,"If necessary, use this space to clarify your test             https://www.nyu.edu/admissions/undergraduate-","C8F If necessary, use this space to clarify your test https://www.nyu.edu/admissions/undergraduate- policies (e.g., if tests are recommended for some admissions/how-to-apply/standardized-tests.html students, or if tests are not required of some students due to differences by academic program, studen"
2024-2025,C,C8G,"Please indicate which tests your institution uses for placement (e.g., state tests):","C8G Please indicate which tests your institution uses for placement (e.g., state tests): SAT ACT AP CLEP Institutional Exam State Exam (specify): CDS-C Page 60"
2024-2025,C,C9,"-C12: First-time, first-year Profile","C9-C12: First-time, first-year Profile Provide information for ALL enrolled, degree-seeking, full-time and part-time, first-time, first-year students enrolled in Fall 2024, including students who began studies during summer, international students/nonresidents, and students admitted under special ar"
2024-2025,C,C10,"Percent of all degree-seeking, first-time, first-year students who had high school class rank within","C10 Percent of all degree-seeking, first-time, first-year students who had high school class rank within each of the following ranges (report information for those students from whom you collected high school rank information) Assessment Percent Percent in top tenth of high school graduating class P"
2024-2025,C,C11,"Percentage of all enrolled, degree-seeking, first-time, first-year students who had high school grade-","C11 Percentage of all enrolled, degree-seeking, first-time, first-year students who had high school grade- point averages within each of the following ranges (using 4.0 scale). * Report information only for those students from whom you collected high school GPA. * If you are able to report GPA range"
2024-2025,C,C12,"Average high school GPA of all degree-seeking, first-time, first-year","C12 Average high school GPA of all degree-seeking, first-time, first-year students who submitted GPA: 3.81 Percent of total first-time, first-year students who submitted high school 99.00% GPA:"
2024-2025,C,C13,-C20: Admission Policies,C13-C20: Admission Policies C13 Application Fee If your institution has waived its application fee for the Fall 2026 admission cycle please select no. Yes No Does your institution have an application fee? X Amount of application fee: $85 Yes No Can it be waived for applicants with financial need? X 
2024-2025,C,C14,Application closing date,C14 Application closing date Yes No Does your institution have an application closing X date? Date Application closing date (fall) 1/5 Priority Date Yes No
2024-2025,C,C15,"Are first-time, first-year students accepted for terms other than the","C15 Are first-time, first-year students accepted for terms other than the X fall?"
2024-2025,C,C16,Notification to applicants of admission decision sent (fill in one only),C16 Notification to applicants of admission decision sent (fill in one only) On a rolling basis beginning X By (date): 1-Apr Other:
2024-2025,C,C17,Reply policy for admitted applicants (fill in one only),"C17 Reply policy for admitted applicants (fill in one only) X Must reply by (date): 1-May No set date Must reply by May 1st or within weeks if notified thereafter Other: Deadline for housing deposit (MMD 1-May Amount of housing deposit: $1000 Refundable if student does not enroll? Yes, in full Yes, "
2024-2025,C,C18,Deferred admission,"C18 Deferred admission Yes No Does your institution allow students to postpone enrollment after X admission? If yes, maximum period of postponement: more information"
2024-2025,C,C19,Early admission of high school students,"C19 Early admission of high school students Yes No Does your institution allow high school students to enroll as full-time, first-time, first-year students one year or more before high school X graduation?"
2024-2025,C,C20,Common Application: Question removed from CDS. (Initiated during 2006-2007 cycle),C20 Common Application: Question removed from CDS. (Initiated during 2006-2007 cycle)
2024-2025,C,C21,-C22: Early Decision and Early Action Plans,C21-C22: Early Decision and Early Action Plans C21 Early Decision Yes No Does your institution offer an early decision plan (an admission plan that permits students to apply and be notified of an admission decision well in advance of the regular notification date and that asks students X to commit t
2024-2025,C,C22,Early action,"C22 Early action Yes No Do you have a nonbinding early action plan whereby students are notified of an admission decision well in advance of the regular X notification date but do not have to commit to attending your college? If “yes,” please complete the following: Early action closing date Early a"
2024-2025,D,D1,-D2: Fall Applicants,"D1-D2: Fall Applicants Yes No D1 Does your institution enroll transfer students? (If no, X please skip to Section E) If yes, may transfer students earn advanced standing credit by transferring credits earned from course work X completed at other colleges/universities?"
2024-2025,D,D2,"Provide the number of students who applied, were admitted, and enrolled as degree-seeking transfer","D2 Provide the number of students who applied, were admitted, and enrolled as degree-seeking transfer students in Fall 2024. If your institution collects and reports non-binary gender data, please use the ""Another Gender"" category. Transfer Admission Applicants Admitted Enrolled Men 4,566 786 631 Wo"
2024-2025,D,D3,-D11: Application for Admission,D3-D11: Application for Admission D3 Indicate terms for which transfers may enroll: X Fall Winter X Spring X Summer Yes No
2024-2025,D,D4,Must a transfer applicant have a minimum number of,"D4 Must a transfer applicant have a minimum number of credits completed or else must apply as an entering first- X year student? If yes, what is the minimum number of credits and the unit of measure? 24 credits"
2024-2025,D,D5,Indicate all items required of transfer students to apply for admission:,D5 Indicate all items required of transfer students to apply for admission: Recommended Recommended Requirements Required of All Required of Some Not Required of All of Some High school transcript X College transcript(s) X Essay or personal X Interview X Standardized test scores X Statement of good 
2024-2025,D,D6,If a minimum high school grade point average is required,"D6 If a minimum high school grade point average is required of transfer applicants, specify (on a 4.0 scale): N/A"
2024-2025,D,D7,If a minimum college grade point average is required of,"D7 If a minimum college grade point average is required of transfer applicants, specify (on a 4.0 scale): N/A"
2024-2025,D,D8,List any other application requirements specific to transfer applicants:,D8 List any other application requirements specific to transfer applicants: Program dependent - detailed on NYU website. https://www.nyu.edu/admissions/undergraduate-
2024-2025,D,D9,"List application priority, closing, notification, and candidate reply dates for transfer students. If applications","D9 List application priority, closing, notification, and candidate reply dates for transfer students. If applications are reviewed on a continuous or rolling basis, place a check mark in the “Rolling admission” column. Rolling D9 Term Priority Date Closing Date Notification Date Reply Date Admission"
2024-2025,D,D10,"Does an open admission policy, if reported, apply to","D10 Does an open admission policy, if reported, apply to X transfer students?"
2024-2025,D,D11,"Describe additional requirements for transfer admission, if applicable:","D11 Describe additional requirements for transfer admission, if applicable:"
2024-2025,D,D12,-D17: Transfer Credit Policies,D12-D17: Transfer Credit Policies D12 Report the lowest grade earned for any course that may be transferred for credit: Number Unit Type
2024-2025,D,D13,Maximum number of credits or courses that may be,D13 Maximum number of credits or courses that may be 64 Credits transferred from a two-year institution: Number Unit Type
2024-2025,D,D14,Maximum number of credits or courses that may be,D14 Maximum number of credits or courses that may be 64 Credits transferred from a four-year institution:
2024-2025,D,D15,Minimum number of credits that transfers must complete,D15 Minimum number of credits that transfers must complete at your institution to earn an associate degree:
2024-2025,D,D16,Minimum number of credits that transfers must complete,D16 Minimum number of credits that transfers must complete at your institution to earn a bachelor’s degree: 64
2024-2025,D,D17,Describe other transfer credit policies:,D17 Describe other transfer credit policies:
2024-2025,D,D18,-D22: Military Service Transfer Credit Policies,D18-D22: Military Service Transfer Credit Policies D18 Does your institution accept the following military/veteran transfer credits: Yes No American Council on Education (ACE) X College Level Examination Program (CLEP) X DANTES Subject Standardized Tests (DSST) X Number Unit Type
2024-2025,D,D19,Maximum number of credits or courses that may be,D19 Maximum number of credits or courses that may be transferred based on military education evaluated by the American Council on Education (ACE): Number Unit Type
2024-2025,D,D20,Maximum number of credits or courses that may be transferred,D20 Maximum number of credits or courses that may be transferred based on Department of Defense supported prior learning assessments (College Level Examination Program (CLEP) or DANTES Subject Standardized Tests (DSST)): Yes No
2024-2025,D,D21,Are the military/veteran credit transfer policies published on your,"D21 Are the military/veteran credit transfer policies published on your X website? If yes, please provide the URL where the policy can be located: tps://www.nyu.edu/admissions/undergraduate-admissions/how-to-apply/military-applicants.ht"
2024-2025,D,D22,Describe other military/veteran transfer credit policies unique to your institution:,D22 Describe other military/veteran transfer credit policies unique to your institution: CDS-D Page 78
2024-2025,E,E1,Special study options: Identify those programs available at your institution.,E1 Special study options: Identify those programs available at your institution. Refer to the glossary for definitions. x Accelerated program x Comprehensive transition and postsecondary program for students with intellectual disabilities x Cross-registration x Distance learning x Double major Dual 
2024-2025,E,E2,Has been removed from the CDS.,E2 Has been removed from the CDS.
2024-2025,E,E3,Areas in which all or most students are required to complete some course,E3 Areas in which all or most students are required to complete some course work prior to graduation: Arts/fine arts Computer literacy x English (including composition) x Foreign languages History Physical Education x Humanities Intensive writing Mathematics Philosophy x Sciences (biological or phys
2024-2025,F,F1,"Percentages of first-time, first-year degree-seeking students and degree-seeking undergraduates enrolled in Fall 2024 who fit the follow","F1 Percentages of first-time, first-year degree-seeking students and degree-seeking undergraduates enrolled in Fall 2024 who fit the follow First-time, first- Undergraduates year students Percent who are from out of state (exclude international/nonresidents from the 69% 66% numerator and denominator"
2024-2025,F,F2,Activities offered. Identify those,F2 Activities offered. Identify those X Campus Ministries X Choral groups X Concert band X Dance X Drama/theater X International Student Organization X Jazz band X Literary magazine Marching band X Model UN X Music ensembles X Musical theater X Opera X Pep band X Radio station X Student government X
2024-2025,F,F3,ROTC (program offered in cooperation with Reserve Officers' Training Corps),F3 ROTC (program offered in cooperation with Reserve Officers' Training Corps) Name of Marine Option At Cooperating Programs On Campus Cooperating (for Naval ROTC) Institution Institution Fordham Army ROTC is offered: X University Naval ROTC is offered: Manhattan Air Force ROTC is offered: X College
2024-2025,F,F4,"Housing: Check all types of college-owned, -operated, or -affiliated housing available for undergraduates at your institution.","F4 Housing: Check all types of college-owned, -operated, or -affiliated housing available for undergraduates at your institution. X Coed dorms Men's dorms Women's dorms Apartments for married students X Apartments for single students X Special housing for disabled students X Special housing for inte"
2024-2025,G,G0,Please provide the URL of your institution’s net price calculator:,G0 Please provide the URL of your institution’s net price calculator: Provide 2024-2025 academic year costs of attendance for the following categories that are applicable to your institution. x Check here if your institution's 2025-2026 academic year costs of attendance are not available at this tim
2024-2025,G,G1,"Undergraduate full-time tuition, required fees, food and housing","G1 Undergraduate full-time tuition, required fees, food and housing List the typical tuition, required fees, and food and housing for a full-time undergraduate student for the FULL 2025-2026 academic year. (30 semester hours or 45 quarter hours for institutions that derive annual tuition by multiply"
2024-2025,G,G2,Number of credits per term a student can take for the stated,G2 Number of credits per term a student can take for the stated full-time tuition. Yes No
2024-2025,G,G3,"Do tuition and fees vary by year of study (e.g., sophomore,","G3 Do tuition and fees vary by year of study (e.g., sophomore, junior, senior)?"
2024-2025,G,G4,Do tuition and fees vary by undergraduate instructional,"G4 Do tuition and fees vary by undergraduate instructional program? If yes, what percentage of full-time undergraduates pay more than the tuition and fees reported in G1?"
2024-2025,G,G5,Provide the estimated expenses for a typical full-time undergraduate student:,G5 Provide the estimated expenses for a typical full-time undergraduate student: Residents Commuters Commuters Books and supplies: Housing only: Not Applicable Not Applicable Food only: Not Applicable Food and housing total* Not Applicable Not Applicable Transportation: Other expenses: * If your col
2024-2025,G,G6,Undergraduate per-credit-hour charges (tuition only):,G6 Undergraduate per-credit-hour charges (tuition only): PRIVATE INSTITUTIONS: PUBLIC INSTITUTIONS: In-district: In-state (out-of-district): Out-of-state: NONRESIDENTS: CDS-G Page 84
2024-2025,J,J1,"Degrees conferred between July 1, 2023 and June 30, 2024","J1 Degrees conferred between July 1, 2023 and June 30, 2024 For each of the following discipline areas, provide the percentage of diplomas/certificates, associate, and bachelor’s degrees awarded. To determine the percentage, use majors, not headcount (e.g., students with one degree but a double majo"
2023-2024,A,A0,. Respondent Information (not for publication),"A0. Respondent Information (not for publication) First Name: Last Name: Title: Office: Office of Institutional Research Address: 3 Washington Square Villlage, 1M City: New York State: New York Zip: 10012 Country: United States Phone Number: Extension: Email Address: external.reporting@nyu.edu Are yo"
2023-2024,A,A0A,. Comments About CDS (not for publication),"A0A. Comments About CDS (not for publication) We invite you to indicate if there are items on the CDS for which you cannot use the requested analytic convention, cannot provide data for the cohort requested, whose methodology is unclear, or about which you have questions or comments in general. This"
2023-2024,A,A1,. Address Information,A1. Address Information Please enter general institution information below: Name of College or University New York University Street Address: 70 Washington Square South City: State: Zip: Country: Main Institution Phone Number: (212) 998-1212 Main Institution Website: www.nyu.edu Main Institution Ema
2023-2024,A,A3,. Classify your undergraduate institution: (click to select from dropdown),A3. Classify your undergraduate institution: (click to select from dropdown) Coeducational
2023-2024,A,A4,. Academic year calendar: (click to select from dropdown),A4. Academic year calendar: (click to select from dropdown) Semester
2023-2024,A,A4A,. Describe if calendar differs by program or other:,A4A. Describe if calendar differs by program or other:
2023-2024,A,A5,. Degrees offered by your institution (select all that apply).,A5. Degrees offered by your institution (select all that apply). Certificate Master's Diploma Post-Master's certificate Associate Doctoral degree - research/scholarship Terminal Doctoral degree - professional practice Transfer Doctoral degree - other Bachelor's Post-Bachelor's certificate
2023-2024,A,A6,". Diversity, Equity, and Inclusion","A6. Diversity, Equity, and Inclusion If you have a diversity, equity, and inclusion office or department, please provide the URL of the corresponding Web page: https://www.nyu.edu/life/global-inclusion-and-diversity.html END OF SECTION A 2 of 42 CDS-A CDS_2023_2024_Public_Final.xlsx"
2023-2024,B,B1,. Institutional Enrollment,"B1. Institutional Enrollment Provide numbers of students for each of the following categories as of the institution’s official fall reporting date or as of October 15, 2023. 1. Report students formaly designated as ""first professional"" in the graduate counts. 2. If your institution collects and repo"
2023-2024,B,B2,. Enrollment by Racial/Ethnic Category,"B2. Enrollment by Racial/Ethnic Category Provide numbers of undergraduate students for each of the following categories as of the institution’s official fall reporting date or as of October 15, 2023. 1. Include international students only in the category ""Nonresidents."" 2. Complete the “Total Underg"
2023-2024,B,B3,. Persistence / Degrees,"B3. Persistence / Degrees Number of degrees awarded by your institution from July 1, 2022, to June 30, 2023. Certificate/Diploma 0.0 Associate's Degrees 88.0 Bachelor's Degrees 7,005.0 Post-Bachelor's Degrees 51.0 Master's Degrees 12,937.0 Post-Master's Degrees 159.0 Doctoral degree - research/schol"
2023-2024,B,B12,". Initial cohort, total of first-time, full-time degree/certificate-seeking","B12. Initial cohort, total of first-time, full-time degree/certificate-seeking students: na na"
2023-2024,B,B13,". Of the Initial 2016 cohort, how many did not persist and did not","B13. Of the Initial 2016 cohort, how many did not persist and did not graduate for any of the following reasons: (report total allowable exclusions) - Deceased - Permanently Disabled na na - Armed Forces - Foreign Aid Service of the Federal Government - Official church missions"
2023-2024,B,B14,". Final cohort, after adjusting for allowable exclusions:","B14. Final cohort, after adjusting for allowable exclusions: #VALUE! #VALUE!"
2023-2024,B,B15,. Completers of programs of less than two years duration (total):,B15. Completers of programs of less than two years duration (total): na na
2023-2024,B,B16,. Completers of programs of less than two years within 150 percent of,B16. Completers of programs of less than two years within 150 percent of normal time: na na
2023-2024,B,B17,. Completers of programs of at least two but less than four years (total):,B17. Completers of programs of at least two but less than four years (total): na na
2023-2024,B,B18,. Completers of programs of at least two but less than four-years within,B18. Completers of programs of at least two but less than four-years within 150 percent of normal time: na na
2023-2024,B,B19,. Total transfers-out (within three years) to other institutions:,B19. Total transfers-out (within three years) to other institutions: na na
2023-2024,B,B20,. Total transfers to two-year institutions:,B20. Total transfers to two-year institutions: na na
2023-2024,B,B21,. Total transfers to four-year institutions:,B21. Total transfers to four-year institutions: na na
2023-2024,B,B22,. Retention Rates,"B22. Retention Rates Report for the cohort of all full-time, first-time bachelor’s (or equivalent) degree-seeking undergraduate students who entered in Fall 2022 (or the preceding summer term). The initial cohort may be adjusted for students who departed for the following reasons: *Death *Permanent "
2023-2024,C,C1,". Applications: First-time, First-year Students","C1. Applications: First-time, First-year Students Provide the number of degree-seeking, first-time, first-year students who applied, were admitted, and enrolled (full- or part-time) in Fall 2023. - Include early decision, early action, and students who began studies during summer in this cohort. - A"
2023-2024,C,C2,". Applications: First-time, First-year Wait-Listed Students","C2. Applications: First-time, First-year Wait-Listed Students Students who met admission requirements but whose final admission was contingent on space availablity. Do you have a policy of placing students on a waiting list? Yes Select from the dropdown menu. If yes, please answer the questions belo"
2023-2024,C,C3,. Admission Requirements: High School Completion Requirement,C3. Admission Requirements: High School Completion Requirement Does your institution require high school completion for degree-seeking entering students? Select from dropdown. High school diploma is required and GED is accepted 11 of 42 CDS-C CDS_2023_2024_Public_Final.xlsx C4. Admission Requirement
2023-2024,C,C5,. Admission Requirements: High School Units Required/Recommended,C5. Admission Requirements: High School Units Required/Recommended Specify the distribution of academic high school course unites required and/or recommend of all or most degree-seeking students using Carnegie units (one unit equals one year of study or its equivalent). If you use a different system
2023-2024,C,C6,. Basis for Selection: Open Admission Policy,"C6. Basis for Selection: Open Admission Policy Does your institution have an open admission policy, under which virtually all secondary school graduates or students with GED equivalency diplomas are admitted without regard to academic record, test scores, or other qualifications? Select the most app"
2023-2024,C,C7,. Basis for Selection: Relative Importance of Factors in Admission Decisions,"C7. Basis for Selection: Relative Importance of Factors in Admission Decisions Please indicate the relative importance of each of the following academic and non-academic factors in your first-time, first-year degree- seeking general admission decisions (not including programs with specific criteria)"
2023-2024,C,C8,. SAT and ACT Policies,"C8. SAT and ACT Policies Does your institution make use of SAT or ACT scores in admissions decisions for first-time, first- year, degree-seeking applicants? Yes If yes, please select the appropriate response from the dropdown menus for each possible option below for admission for Fall 2025. SAT and/"
2023-2024,C,C10,. Class Rank Ranges,"C10. Class Rank Ranges Percent of all degree-seeking, first-time, first-year students who had high school class rank within each of the following ranges (report information for those students from whom you collected high school rank information). Class Rank Range Percent Percent in top tenth of high"
2023-2024,C,C11,. High School Grade Point Ranges,"C11. High School Grade Point Ranges Percentage of all enrolled, degree-seeking, first-time, first-year students who had high school grade-point averages within each of the following ranges (using 4.0 scale). 1. Report information only for those students from whom you collected high school GPA. 2. If"
2023-2024,C,C12,. Average High School GPA,"C12. Average High School GPA Average high school GPA of all degree-seeking, first-time, first-year students who submitted GPA: 3.81 Percent of total first-time, first-year students who submitted high school GPA: 99.0% 16 of 42 CDS-C CDS_2023_2024_Public_Final.xlsx C13. Application Fee Does your inst"
2023-2024,C,C14,. Application Closing Date,"C14. Application Closing Date Does your institution have an application closing date? Yes If yes, please enter the dates below: Please use the following format: (MM/DD) Application Closing Date (Fall) 1/5 Priority Date"
2023-2024,C,C15,". First-time, first-year student acceptance other than Fall","C15. First-time, first-year student acceptance other than Fall Are first-time, first-year students accepted for terms other than the Fall? Yes"
2023-2024,C,C16,. Admissions Notification to Applicants,"C16. Admissions Notification to Applicants Are notifications to applicants of admission decision sent on a rolling basis? No What date do rolling notifications begin? (MM/DD) If notifications of admission decision are sent by specific date, please enter date: (MM/DD) 4/1"
2023-2024,C,C17,. Reply Policy for Applicants,"C17. Reply Policy for Applicants What is your institution's reply policy for admitted applicants? (select from dropdown menu and related follow-up textbox) Must reply by set date If you selected reply by May 1st or within a set number of weeks, please enter number of weeks: If you selected specific "
2023-2024,C,C18,. Deferred Admission,"C18. Deferred Admission Does your institution allow students to postpone enrollment after admission? Yes If yes, what is the maximum period of postponement? One year. For more information see https://www.nyu.edu/admissions/undergraduate-admissions/admitted- students/deferring-your-enrollment.html"
2023-2024,C,C19,. Early Admissions,"C19. Early Admissions Does your institution allow high school students to enroll as full-time, No first-time, first-year students one year or more before high school graduation?"
2023-2024,C,C20,. Common Application (Questions Removed from CDS.),C20. Common Application (Questions Removed from CDS.) 18 of 42 CDS-C CDS_2023_2024_Public_Final.xlsx C21. Early Decision Does your institution offer an early decision plan (an admission plan that permits students to apply and be notified of an admission decision well in advance of the regular notifi
2023-2024,D,D1,. Fall Applicants: Transfer Student Enrollment,"D1. Fall Applicants: Transfer Student Enrollment Does your institution enroll transfer students? Yes If NO - Skip to CDS Section E. If yes, may transfer students earn advanced standing credit by transferring credits earned from course work completed at other colleges/universities? Yes"
2023-2024,D,D2,. Fall Applicants: Student Counts,"D2. Fall Applicants: Student Counts Provide the number of students who applied, were admitted, and enrolled as degree-seeking transfer students in Fall 2023. If your institution collects and reports non-binary gender data, please use the ""Another Gender"" category. Admitted Enrolled Applicants Applic"
2023-2024,D,D3,. Enrollment Terms,D3. Enrollment Terms Please indicate which terms for which transfer students may enroll: (select all that apply) Fall Spring Winter Summer
2023-2024,D,D4,. Transfer Applicants Minimum Credits,"D4. Transfer Applicants Minimum Credits Must a transfer applicant have a minimum number of credits/courses completed Yes or else must apply as an entering first-year student? If yes, what is the minimum number and the unit type? Number: 24.0 Unit Type: Credit(s)"
2023-2024,D,D5,. Requirements for Admission,"D5. Requirements for Admission Please indicate if the below items are required, recommended, or not of transfer students to apply for admission: Select from the dropdown menu. High school transcript Required of All College transcript(s) Required of All Essay or personal statement Required of All Int"
2023-2024,D,D6,. Minimum High School GPA Required,"D6. Minimum High School GPA Required If a minimum high school grade point average is required of transfer applicants, specificy (on a 4.0) scale: GPA Required: N/A"
2023-2024,D,D7,. Minimum College GPA Required,"D7. Minimum College GPA Required If a minimum college grade point average is required of transfer applicants, specificy (on a 4.0) scale: GPA Required: N/A 21 of 42 CDS-D CDS_2023_2024_Public_Final.xlsx D8. List any other application requirements specific to transfer applicants: https://www.nyu.edu/"
2023-2024,D,D9,. Application Specific Dates,"D9. Application Specific Dates List application priority, closing, notification, and candidate reply dates for transfer students. If applications are reviewed on a continuous or rolling basis, place a check mark in the ""Rolling Admission"" column. Use MM/DD format. Notification Priority Date Closing "
2023-2024,D,D10,. Open Admission Policy,"D10. Open Admission Policy Does an open admission policy, if reported, apply to transfer students? No 22 of 42 CDS-D CDS_2023_2024_Public_Final.xlsx D11. Additional Requirements Please describe any additional requirements for transfer students, if applicable: https://www.nyu.edu/admissions/undergrad"
