year,section,field,label,raw_preview
2024-2025,B,B16,Completers of programs of less than two years within 150                  Total,B16 Completers of programs of less than two years within 150 Total B1601 2021 Cohort B1602 2020 Cohort
2024-2025,B,B17,Completers of programs of at least two but less than four                 Total,B17 Completers of programs of at least two but less than four Total B1701 2021 Cohort B1702 2020 Cohort
2024-2025,B,B18,Completers of programs of at least two but less than four‐                Total,"B18 Completers of programs of at least two but less than four‐ Total Swarthmore College Institutional Effectiveness, Research & Assessment-- Page 15 of 72 p p g B1801 2021 Cohort B1802 2020 Cohort"
2024-2025,B,B19,Total transfers‐out (within three years) to other                        Total,B19 Total transfers‐out (within three years) to other Total B1901 2021 Cohort B1902 2020 Cohort
2024-2025,B,B20,Total transfers to two‐year institutions:                                Total,B20 Total transfers to two‐year institutions: Total B2001 2021 Cohort B2002 2020 Cohort
2024-2025,B,B21,Total transfers to four‐year institutions:                                Total,B21 Total transfers to four‐year institutions: Total B2101 2021 Cohort B2102 2020 Cohort
2024-2025,B,B22,B22. Retention Rates,"B22 B22. Retention Rates Report for the cohort of all full‐time, first‐time bachelor’s (or equivalent) degree‐ seeking undergraduate students who entered in Fall 2023 (or the preceding summer term). • The initial cohort may be adjusted for students who departed for the following reasons: * Death * P"
2024-2025,D,D1,‐D2: Fall Applicants,"D1‐D2: Fall Applicants D1 Response 'Y' or 'N' Does your institution enroll transfer students? (If D101 no, please skip to Section E) Y If yes, may transfer students earn advanced standing credit by transferring credits earned from course work completed at other D102 colleges/universities? Y"
2024-2025,D,D2,"Provide the number of students who applied, were admitted, and enrolled as","D2 Provide the number of students who applied, were admitted, and enrolled as degree‐seeking transfer students in Fall 2024. If your institution collects and reports non‐binary gender data, please use the ""Another Gender"" category. Transfer Admission Applicants Total D201 Men 154 D202 Women 215 D203"
2024-2025,D,D3,‐D11: Application for Admission,D3‐D11: Application for Admission D3 Indicate terms for which transfers may enroll: Response 'x' D301 Fall X D302 Winter D303 Spring D304 Summer
2024-2025,D,D4,Response 'Y' or 'N',"D4 Response 'Y' or 'N' Must a transfer applicant have a minimum number of credits completed or else must apply as an D401 entering first-year student? Y If yes, what is the minimum number of credits and the unit of measure? Response Number Generally, 1 year's worth of academic D402 Number work D403 "
2024-2025,D,D5,Indicate all items required of transfer students to               Please select one of,D5 Indicate all items required of transfer students to Please select one of apply for admission: Required Required of of All All Recommended Recommended of of All All Recommended Recommended of of Some Required Some of Some Not Required Required of Some Requirements Response Text D501 High school tr
2024-2025,D,D7,GPA,"D7 GPA If a minimum college grade point average is required of transfer applicants, specify (on a 4.0 scale): D701"
2024-2025,D,D8,Response Text (no,D8 Response Text (no List any other application requirements specific to Two Academic D801 transfer applicants: Evaluation Letters
2024-2025,D,D9,"List application priority, closing, notification, and candidate reply dates for","D9 List application priority, closing, notification, and candidate reply dates for transfer students. If applications are reviewed on a continuous or rolling Term Priority Date D901 Fall D902 Winter D903 Spring D904 Summer Term Closing Date D905 Fall 1-Apr D906 Winter D907 Spring D908 Summer Term No"
2024-2025,D,D10,Response 'Y' or 'N',"D10 Response 'Y' or 'N' Does an open admission policy, if reported, apply D1001 to transfer students? No open admissions policy"
2024-2025,D,D11,Free Response (Please,"D11 Free Response (Please Applicants for transfer must present transcripts for both college and secondary school work, including an official statement indicating that the student is leaving the tertiary institution Describe additional requirements for transfer attended in good D1101 admission, if ap"
2024-2025,D,D12,‐D17: Transfer Credit Policies,D12‐D17: Transfer Credit Policies D12 Response Text Report the lowest grade earned for any course that D1201 may be transferred for credit: straight C
2024-2025,D,D13,Maximum number of credits or courses that                        Response Number,D13 Maximum number of credits or courses that Response Number may be transferred from a two‐year and Unit Type D1301 Number 16 course credits (32 course credits for a D1302 Unit Type Bachelor’s degree)
2024-2025,D,D14,Maximum number of credits or courses that may be                 Response Number,"D14 Maximum number of credits or courses that may be Response Number transferred from a four‐year institution: and Unit Type D1401 Number 16 course credits (32 course credits for a D1402 Unit Type Bachelor’s degree) Swarthmore College Institutional Effectiveness, Research & Assessment-- Page 37 of 7"
2024-2025,D,D16,Min Credits,"D16 Min Credits There are no minimum credit requirements, but transfer students must be enrolled full Minimum number of credits that transfers must time for four semesters complete at your institution to earn a bachelor’s to be eligible for a D1601 degree: Swarthmore degree."
2024-2025,D,D17,Free Response (Please,"D17 Free Response (Please Transfer of credit depends on evaluation of the materials of the course, normally including syllabus, transcript, written work, examinations, and indication of class hours. All decisions are made on a case-by- case basis. An official transcript must be received by the Regis"
2024-2025,D,D18,‐D22: Military Service Transfer Credit Policies,D18‐D22: Military Service Transfer Credit Policies D18 Does your institution accept the following Response 'Y' or 'N' D1801 American Council on Education (ACE) N D1802 College Level Examination Program (CLEP) N D1803 DANTES Subject Standardized Tests (DSST) N
2024-2025,D,D19,Maximum number of credits or courses that may be                 Response,"D19 Maximum number of credits or courses that may be Response transferred based on military education evaluated by the American Council on Education (ACE): Swarthmore College Institutional Effectiveness, Research & Assessment-- Page 38 of 72 by the American Council on Education (ACE): D1901 Number 0"
2024-2025,D,D20,Maximum number of credits or courses that                  Response,D20 Maximum number of credits or courses that Response may be transferred based on Department of Defense supported prior learning assessments (College Level Examination Program (CLEP) or DANTES Subject Standardized Tests (DSST)): D2001 Number 0 D2002 Unit Type
2024-2025,D,D21,Response 'Y' or 'N',"D21 Response 'Y' or 'N' Are the military/veteran credit transfer policies D2101 published on your website? Y Response URL https://www.swarthm If yes, please provide the URL where the policy ore.edu/admissions- D2102 can be located: aid/veterans"
2024-2025,D,D22,Response Text,"D22 Response Text Describe other military/veteran transfer credit D2202 policies unique to your institution: not applicable Swarthmore College Institutional Effectiveness, Research & Assessment-- Page 39 of 72 Question NQuestion Answer"
2024-2025,E,E1,Special study options: Identify those programs available at your institution. Refer to the glossary for definitions.,E1 Special study options: Identify those programs available at your institution. Refer to the glossary for definitions. Response 'x' E101 Accelerated program X Comprehensive transition and postsecondary E102 program for students with intellectual disabilities E103 Cross-registration X E104 Distance 
2024-2025,E,E3,Areas in which all or most students are required to complete some course work prior to graduation:,E3 Areas in which all or most students are required to complete some course work prior to graduation: Response 'x' E301 Arts/fine arts E302 Computer literacy E303 English (including composition) E304 Foreign languages X E305 History E306 Physical Education X E307 Humanities X E308 Intensive writing 
2024-2025,F,F1,"Percentages of first‐time, first‐year degree‐seeking students and degree‐seeking","F1 Percentages of first‐time, first‐year degree‐seeking students and degree‐seeking undergraduates enrolled in Fall 2024 who fit the following categories: NOTE: Study abroad students are EXCLUDED. In Fall 2024, there were 79 students studying abroad. First‐time, first‐year students Percent Percent w"
2024-2025,F,F2,Activities Offered,"F2 Activities Offered Swarthmore College Institutional Effectiveness, Research & Assessment-- Page 42 of 72 Response 'x' F201 Campus Ministries x F202 Choral groups x F203 Concert band x F204 Dance x F205 Drama/theater x F206 International Student Organization x F207 Jazz band x F208 Literary magazi"
2024-2025,F,F3,ROTC (program offered in cooperation with Reserve Officers' Training Corps),F3 ROTC (program offered in cooperation with Reserve Officers' Training Corps) Programs: Army ROTC is offered Response 'x' F301 On Campus F302 At Cooperating Institution Response Text F303 Name of Cooperating Institution Programs: Naval ROTC is offered Response 'x' F304 Marine Option (for Naval ROTC
2024-2025,F,F4,"Housing: Check all types of college‐owned, ‐operated, or ‐affiliated housing","F4 Housing: Check all types of college‐owned, ‐operated, or ‐affiliated housing available for undergraduates at your institution. Response 'x' F401 Coed dorms x x (single gender floors F402 Men's dorms available) x (single gender floors F403 Women's dorms available) F404 Apartments for married stude"
2024-2025,G,G0,,G0 URL G001 Please provide the URL of your institution’s net price calculator: https://www.swarthmore.edu/fina ncial-aid/net-price-calculator Response 'x' G002 If your institution's 2025-2026 academic year costs of attendance are not available at this time please respond. x Date G003 Please provide 
2024-2025,G,G1,"Undergraduate full‐time tuition, required fees, food and housing","G1 Undergraduate full‐time tuition, required fees, food and housing List the typical tuition, required fees, and food and housing for a full‐time undergraduate student for the FULL 2025‐2026 academic year. (30 semester hours or 45 quarter hours for institutions that derive annual tuition by multiply"
2024-2025,G,G2,Number of credits per term a student can take for                     Credits,"G2 Number of credits per term a student can take for Credits the stated full‐time tuition. 3 (Note that these are Swarthmore “course credits,” where 32 courses are required for a Bachelor’s G201 Minimum Degree.) 5 (Note that these are Swarthmore “course credits,” where 32 courses are required for a "
2024-2025,G,G3,Response 'Y' or 'N',"G3 Response 'Y' or 'N' Swarthmore College Institutional Effectiveness, Research & Assessment-- Page 46 of 72 Do tuition and fees vary by year of study (e.g., G301 sophomore, junior, senior)? N Response 'Y' or 'N'"
2024-2025,G,G4,,"G4 Do tuition and fees vary by undergraduate G401 instructional program? N Percent If yes, what percentage of full-time undergraduates pay more than the tuition and 0.00% G402 fees reported in G1?"
2024-2025,G,G5,Provide the estimated expenses for a typical full‐time undergraduate student:,G5 Provide the estimated expenses for a typical full‐time undergraduate student: * If your college cannot provide separate food and housing figures for commuters not living at home ****NOTE: Figures below reflect 24-25***** Residents Expenses in $ Books and supplies: ** “Books and supplies” expenses
2024-2025,G,G6,Undergraduate per‐credit‐hour charges (tuition only):,"G6 Undergraduate per‐credit‐hour charges (tuition only): Expenses in $ G601 PRIVATE INSTITUTIONS: Not Applicable G602 PUBLIC INSTITUTIONS: G603 In-district: G604 In-state (out-of-district): G605 Out-of-state: G606 NONRESIDENTS: Swarthmore College Institutional Effectiveness, Research & Assessment-- "
2024-2025,H,H1,,"H1 Enter total dollar amounts awarded to enrolled full‐time and less than full‐time degree‐seeking undergraduates (using the same cohort reported in CDS Question B1, “total degree‐seeking” undergraduates) in the following categories. • If the data being reported are final figures for the 2023‐2024 a"
2024-2025,H,H2,full‐time undergraduates who applied for and were awarded financial aid from any source.,"H2 full‐time undergraduates who applied for and were awarded financial aid from any source. • Aid that is non‐need‐based but that was used to meet need should be counted as need‐ based aid. • Numbers should reflect the cohort awarded the dollars reported in H1. • In the chart below, students may be "
2024-2025,H,H2A,Number of Enrolled Students Awarded Non‐need‐based Scholarships and Grants: List the number of,H2A Number of Enrolled Students Awarded Non‐need‐based Scholarships and Grants: List the number of degree‐seeking full‐time and less‐than‐full‐time undergraduates who had no financial need and who were awarded institutional non‐need‐based scholarship or grant aid. • Numbers should reflect the cohort
2024-2025,H,H4,Number,"H4 Number Provide the number of students in the 2024 undergraduate class who started at your institution as first-time students and received a bachelor's degree between July 1, 2023 and June 30, 2024. Exclude students who transferred into H401 your institution. 403"
2024-2025,H,H5,"H5. Number and percent of students in class (defined in H4 above) borrowing from federal, non‐","H5 H5. Number and percent of students in class (defined in H4 above) borrowing from federal, non‐ federal, and any loan sources, and the average (or mean) amount borrowed. • The “Average per‐undergraduate‐borrower cumulative principal borrowed,” is designed to provide better information about studen"
2024-2025,H,H7,Check off all financial aid forms nonresident first‐year financial aid applicants must submit:,"H7 Check off all financial aid forms nonresident first‐year financial aid applicants must submit: Response 'x' H7101 Institution’s own financial aid form H7102 CSS/Financial Aid PROFILE X Response Text Foreign Tax Return, Income Statement from Employer, ISFAA - International Student's H7103 Other (s"
2024-2025,H,H8,Select all financial aid forms domestic first‐year financial aid applicants must submit:,"H8 Select all financial aid forms domestic first‐year financial aid applicants must submit: Response 'x' Swarthmore College Institutional Effectiveness, Research & Assessment-- Page 60 of 72 H801 FAFSA X H802 Institution's own financial aid form H803 CSS PROFILE X H804 State aid form X H805 Noncusto"
2024-2025,H,H9,Indicate filing dates for first‐year students:,H9 Indicate filing dates for first‐year students: Date H901 Priority date for filing required financial aid forms: 1/4/2025 H902 Deadline for filing required financial aid forms: 1/4/2025 Response 'x' No deadline for filing required forms (applications H903 processed on a rolling basis)
2024-2025,H,H10,Indicate notification dates for first‐year students (answer a or b):,"H10 Indicate notification dates for first‐year students (answer a or b): Date H1001 a) Students notified on or about (date): 4/1/2025 Response 'Y' or 'N' H1002 b) Students notified on a rolling basis: Date H1003 If yes, starting date:"
2024-2025,H,H11,Indicate reply dates:,"H11 Indicate reply dates: Date H1101 Students must reply by (date): 5/1/2025 Number of weeks H1102 or within____weeks of notification. Swarthmore College Institutional Effectiveness, Research & Assessment-- Page 61 of 72 Types of Aid Available Please check off all types of aid available to undergrad"
2024-2025,H,H12,Loans,H12 Loans Response 'x' H1201 Federal Direct Subsidized Stafford Loans X H1202 Federal Direct Unsubsidized Stafford Loans X H1203 Federal Direct PLUS Loans X H1204 Federal Nursing Loans H1205 State Loans X H1206 College/university loans from institutional funds Response Text H1207 Other (specify):
2024-2025,H,H13,Need Based Scholarships and Grants,H13 Need Based Scholarships and Grants Response 'x' H1301 Federal Pell Grants X H1302 Federal SEOG X H1303 State scholarships/grants X H1304 Private scholarships X College/university scholarship or grant aid from H1305 institutional funds X H1306 United Negro College Fund H1307 Federal Nursing Schol
2024-2025,H,H14,Select criteria used in awarding institutional aid. Select all that apply.,"H14 Select criteria used in awarding institutional aid. Select all that apply. Non‐Need Based Response 'x' H1401 Academics X H1402 Alumni affiliation H1403 Art H1404 Athletics H1405 Job skills Swarthmore College Institutional Effectiveness, Research & Assessment-- Page 62 of 72 H1406 ROTC H1407 Lead"
2024-2025,H,H15,,"H15 If your institution has recently implemented any major financial aid policy, program, or initiative to make your institution more affordable to incoming students such as replacing loans with grants, or waiving costs for families below a certain income H1501 level please provide details: Swarthmo"
2023-2024,B,B1,. Institutional Enrollment - Men and Women,"B1. Institutional Enrollment - Men and Women Provide numbers of students for each of the following categories as of the institution’s official fall reporting date or as of October 15, 2023.  Note: Report students formerly designated as “first professional” in the graduate cells.  For information o"
2023-2024,B,B2,. Enrollment by Racial/Ethnic Category.,"B2. Enrollment by Racial/Ethnic Category. Provide numbers of undergraduate students for each of the following categories as of the institution’s official fall reporting date or as of October 15, 2023.  Include international students only in the category ""Nonresidents.""  Complete the “Total Undergr"
2023-2024,B,B3,. Persistence,"B3. Persistence Number of degrees awarded by your institution from July 1, 2022, to June 30, 2023. AWARD TYPE # AWARDED Certificate/diploma: C or t Associate degrees: C or t Bachelor’s degrees: 409 Post-bachelor’s certificates: C or t Master’s degrees: C or t Post-master’s certificates: C or t Docto"
2023-2024,B,B4,-B21: Graduation Rates,"B4-B21: Graduation Rates The items in this section correspond to data elements collected by the IPEDS Web-based Data Collection System’s Graduation Rate Survey (GRS).  For complete instructions and definitions of data elements, see the IPEDS GRS Forms and Instructions for the 2023-2024 Survey. http"
2023-2024,B,B22,. Retention Rates,"B22. Retention Rates Report for the cohort of all full-time, first-time bachelor’s (or equivalent) degree-seeking undergraduate students who entered in Fall 2022 (or the preceding summer term).  The initial cohort may be adjusted for students who departed for the following reasons: * Death * Perman"
2023-2024,C,C1,-C2: Applications,"C1-C2: Applications C1. First-time, first-year students: Provide the number of degree-seeking, first-time, first-year students who applied, were admitted, and enrolled (full- or part-time) in Fall 2023.  Include early decision, early action, and students who began studies during summer in this coho"
2023-2024,C,C2,". First-time, first-year wait-listed students","C2. First-time, first-year wait-listed students  Students who met admission requirements but whose final admission was contingent on space availability) Do you have a policy of placing students on a waiting list? ☒ Yes ☐ No If yes, please answer the questions below for Fall 2023 admissions: WAITING"
2023-2024,C,C3,-C5: Admission Requirements,C3-C5: Admission Requirements C3. High school completion requirement Check the appropriate box to identify your high school completion requirement for degree-seeking entering students: ☐ High school diploma is required and GED is accepted ☐ High school diploma is required and GED is not accepted ☒ H
2023-2024,C,C4,.Does your institution require or recommend a general college-preparatory program for degree-,"C4.Does your institution require or recommend a general college-preparatory program for degree- seeking students? ☐ Require: ☒ Recommend ☐ Neither require nor recommend Swarthmore College Institutional Effectiveness, Research & Assessment--Page 12 of 63"
2023-2024,C,C5,. Distribution of high school units required and/or recommended. Specify the distribution of,C5. Distribution of high school units required and/or recommended. Specify the distribution of academic high school course units required and/or recommended of all or most degree-seeking students using Carnegie units (one unit equals one year of study or its equivalent). If you use a different syste
2023-2024,C,C6,-C7: Basis for Selection,"C6-C7: Basis for Selection C6. Do you have an open admission policy, under which virtually all secondary school graduates or students with GED equivalency diplomas are admitted without regard to academic record, test scores, or other qualifications? No If so, check which applies: ☐ Open admission po"
2023-2024,C,C7,. Relative importance of each of the following academic and nonacademic factors in your first-,"C7. Relative importance of each of the following academic and nonacademic factors in your first- time, first-year, degree-seeking general (not including programs with specific criteria) admission decisions. Not Factors Very Important Important Considered Considered Academic Rigor of secondary school"
2023-2024,C,C8,: SAT and ACT Policies,"C8: SAT and ACT Policies Entrance exams Does your institution make use of SAT or ACT scores in admission decisions for first-time, first-year, degree-seeking applicants: ☒ Yes ☐ No If yes, place check marks in the appropriate boxes below to reflect your institution’s policies for use in admission fo"
2023-2024,C,C8B,. Has been removed from the CDS.,C8B. Has been removed from the CDS.
2023-2024,C,C8C,. Has been removed from the CDS.,"C8C. Has been removed from the CDS. D. In addition, does your institution use applicants' test scores for academic advising? ☒ Yes ☐ No E. Latest date by which SAT or ACT scores must be received for fall-term admission:  January of Senior Year F. If necessary, use this space to clarify your test po"
2023-2024,C,C9,"-C12: First-time, first-year Profile","C9-C12: First-time, first-year Profile Provide information for ALL enrolled, degree-seeking, full-time and part-time, first-time, first-year students enrolled in Fall 2023, including students who began studies during summer, international students/nonresidents, and students admitted under special ar"
2023-2024,C,C10,".    Percent of all degree-seeking, first-time, first-year students who had high school class rank","C10. Percent of all degree-seeking, first-time, first-year students who had high school class rank within each of the following ranges (report information for those students from whom you collected high school rank information) Assessment Percent Percent in top tenth of high school graduating class "
2023-2024,C,C11,". Percentage of all enrolled, degree-seeking, first-time, first-year students who had high school grade-point averages within each of the following","C11. Percentage of all enrolled, degree-seeking, first-time, first-year students who had high school grade-point averages within each of the following ranges (using 4.0 scale).  Report information only for those students from whom you collected high school GPA.  If you are able to report GPA range"
2023-2024,C,C12,". Average high school GPA of all degree-seeking, first-time, first-year students who submitted GPA:","C12. Average high school GPA of all degree-seeking, first-time, first-year students who submitted GPA: Average high school GPA: Click or tap here to enter text. Percent of total first-time, first-year students who submitted high school GPA: Percent submitting high school GPA: Click or tap here to en"
2023-2024,C,C13,-C20: Admission Policies,C13-C20: Admission Policies C13. Application fee  If your institution has waived its application fee for the Fall 2025 admission cycle please select no. Does your institution have an application fee? ☒ Yes ☐ No Amount of application fee: $60.00 Can it be waived for applicants with financial need? ☒
2023-2024,C,C14,. Application closing date,C14. Application closing date Does your institution have an application closing date? ☒ Yes ☐ No Application Closing Date Date Application closing date (fall) January 4 Priority Date C or t
2023-2024,C,C15,". Are first-time, first-year students accepted for terms other than the fall? ☐ Yes ☒ No","C15. Are first-time, first-year students accepted for terms other than the fall? ☐ Yes ☒ No"
2023-2024,C,C16,.      Notification to applicants of admission decision sent (fill in one only),C16. Notification to applicants of admission decision sent (fill in one only) ☐ On a rolling basis beginning (date): Click or tap here to enter text. ☒ By (date): April 1 ☐ Other: Click or tap here to enter text.
2023-2024,C,C17,.      Reply policy for admitted applicants (fill in one only),"C17. Reply policy for admitted applicants (fill in one only) ☒ Must reply by (date): May 1 ☐ No set date ☐ Must reply by May 1st or within Click or tap here to enter text. weeks if notified thereafter ☐ Other: Click or tap here to enter text. Swarthmore College Institutional Effectiveness, Research "
2023-2024,C,C18,.     Deferred admission: Does your institution allow students to postpone enrollment after,"C18. Deferred admission: Does your institution allow students to postpone enrollment after admission? ☒ Yes ☐ No If yes, maximum period of postponement: 1 year, with some exceptions (such as military or religious)"
2023-2024,C,C19,. Early admission of high school students: Does your institution allow high school students to,"C19. Early admission of high school students: Does your institution allow high school students to enroll as full-time, first-time, first-year students one year or more before high school graduation? ☒ Yes ☐ No"
2023-2024,C,C20,. Common Application: Question removed from CDS. (Initiated during 2006-2007 cycle),C20. Common Application: Question removed from CDS. (Initiated during 2006-2007 cycle)
2023-2024,C,C21,-C22: Early Decision and Early Action Plans,C21-C22: Early Decision and Early Action Plans C21. Early decision: Does your institution offer an early decision plan (an admission plan that permits students to apply and be notified of an admission decision well in advance of the regular notification date and that asks students to commit to atten
2023-2024,C,C22,. Early action: Do you have a nonbinding early action plan whereby students are notified of an,"C22. Early action: Do you have a nonbinding early action plan whereby students are notified of an admission decision well in advance of the regular notification date but do not have to commit to attending your college? ☐ Yes ☒ No If “yes,” please complete the following: Early action closing date: Cl"
2023-2024,D,D1,-D2: Fall Applicants,"D1-D2: Fall Applicants D1. Does your institution enroll transfer students? ☒ Yes ☐ No (If no, please skip to Section E) If yes, may transfer students earn advanced standing credit by transferring credits earned from course work completed at other colleges/universities? ☒ Yes ☐ No"
2023-2024,D,D2,". Provide the number of students who applied, were admitted, and enrolled as degree-seeking transfer","D2. Provide the number of students who applied, were admitted, and enrolled as degree-seeking transfer students in Fall 2023.  If your institution collects and reports non-binary gender data, please use the “Another Gender” category. Admitted Enrolled Applicants Applicants Applicants Men 197 21 6 W"
2023-2024,D,D3,-D11: Application for Admission,D3-D11: Application for Admission D3. Indicate terms for which transfers may enroll: ☒ Fall ☐ Winter ☐ Spring ☐ Summer
2023-2024,D,D4,. Must a transfer applicant have a minimum number of credits completed or else must apply as an,"D4. Must a transfer applicant have a minimum number of credits completed or else must apply as an entering first-year student? ☒ Yes ☐ No If yes, what is the minimum number of credits and the unit of measure?  Generally, 1 year's worth of academic work Swarthmore College Institutional Effectiveness"
2023-2024,D,D5,. Indicate all items required of transfer students to apply for admission:,D5. Indicate all items required of transfer students to apply for admission: Required Recommended Recommended Required Not of All of All of Some of Some required High school transcript ☒ ☐ ☐ ☐ ☐ College transcript(s) ☒ ☐ ☐ ☐ ☐ Essay or personal ☒ ☐ ☐ ☐ ☐ statement Interview ☐ ☐ ☐ ☐ ☒ Standardized te
2023-2024,D,D6,". If a minimum high school grade point average is required of transfer applicants, specify","D6. If a minimum high school grade point average is required of transfer applicants, specify (on a 4.0 scale):  Click or tap here to enter text."
2023-2024,D,D7,". If a minimum college grade point average is required of transfer applicants, specify","D7. If a minimum college grade point average is required of transfer applicants, specify (on a 4.0 scale):  Click or tap here to enter text."
2023-2024,D,D8,. List any other application requirements specific to transfer applicants:,D8. List any other application requirements specific to transfer applicants:  Two Academic Evaluation Letters
2023-2024,D,D9,". List application priority, closing, notification, and candidate reply dates for transfer students. If","D9. List application priority, closing, notification, and candidate reply dates for transfer students. If applications are reviewed on a continuous or rolling basis, place a checkmark in the “Rolling admission” column. Priority Notification Rolling Closing Date Reply Date Date Date Admission Fall C "
2023-2024,D,D10,".   Does an open admission policy, if reported, apply to transfer students? ☐ Yes                                  ☐ No","D10. Does an open admission policy, if reported, apply to transfer students? ☐ Yes ☐ No No open admissions policy"
2023-2024,D,D11,".      Describe additional requirements for transfer admission, if applicable:","D11. Describe additional requirements for transfer admission, if applicable:  Applicants for transfer must present transcripts for both college and secondary school work, including an official statement indicating that the student is leaving the tertiary institution attended in good standing Swarth"
2023-2024,D,D12,-D17: Transfer Credit Policies,D12-D17: Transfer Credit Policies D12. Report the lowest grade earned for any course that may be transferred for credit:  straight C
2023-2024,D,D13,.    Maximum number of credits or courses that may be transferred from a two-year institution:,D13. Maximum number of credits or courses that may be transferred from a two-year institution: Number: 16 Unit type: course credits (32 course credits for a Bachelor’s degree)
2023-2024,D,D14,.    Maximum number of credits or courses that may be transferred from a four-year institution:,D14. Maximum number of credits or courses that may be transferred from a four-year institution: Number: 16 Unit type: course credits (32 course credits for a Bachelor’s degree)
2023-2024,D,D15,.   Minimum number of credits that transfers must complete at your institution to earn an associate,D15. Minimum number of credits that transfers must complete at your institution to earn an associate degree:  not applicable
2023-2024,D,D16,.    Minimum number of credits that transfers must complete at your institution to earn a bachelor’s,"D16. Minimum number of credits that transfers must complete at your institution to earn a bachelor’s degree:  There are no minimum credit requirements, but transfer students must be enrolled full time for four semesters to be eligible for a Swarthmore degree."
